source,destination,distance_m,time_min,cost_idr,transit
Terminal Leuwipanjang,Alun Alun Bandung,7500,22,4000,0
Alun Alun Bandung,Stasiun Bandung,1800,5,3000,0
Stasiun Bandung,Dago,3500,12,3500,0
Dago,ITB,1200,4,3000,0
ITB,Cihampelas,1800,6,3000,0
Cihampelas,Setiabudi,4200,14,4000,0
Setiabudi,Sarijadi,5200,18,4500,0
Sarijadi,Cimahi,6800,22,5000,0
Cimahi,Terminal Leuwipanjang,8500,28,5000,1
Alun Alun Bandung,Cicaheum,6500,18,4000,0
Cicaheum,Cibeureum,4800,14,4000,0
Cibeureum,Terminal Leuwipanjang,9200,26,5000,1
Cibeureum,Ujungberung,7500,22,4500,0
Ujungberung,Kiara Condong,5800,16,4000,0
Kiara Condong,Stasiun Bandung,6200,18,4000,0
Stasiun Bandung,Terminal Leuwipanjang,8800,25,4500,0
ITB,Unpad Dipatiukur,2800,8,3500,0
Unpad Dipatiukur,Alun Alun Bandung,4500,14,4000,0
Dago,Cibeureum,8200,24,5000,1
Cihampelas,Alun Alun Bandung,3200,10,3500,0
Setiabudi,ITB,5500,16,4500,1
Sarijadi,Dago,7800,22,5000,1
Cimahi,Cibeureum,6500,18,4500,0
Cicaheum,Ujungberung,4200,12,3500,0
Kiara Condong,Cibeureum,8500,24,5000,1
Terminal Leuwipanjang,ITB,9500,28,5500,1
Alun Alun Bandung,Cimahi,12500,35,6000,1
Stasiun Bandung,Setiabudi,6800,20,4500,1
Dago,Cicaheum,9800,28,5500,1
Unpad Dipatiukur,Cihampelas,5200,15,4000,0
